capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Bandar Seri Begawan,2003,27.5058904109589,0.9755033015084917,1656.5,211,0.0,0,43635.971150684934,36592.22780821918,3,Brunei,4.916666666,114.916666666
Bangui,2003,27.298219178082192,1.4533603941712023,1065.2,174,0.0,0,43633.941342465754,36002.214273972604,1,Central African Republic,4.37325,18.562833333
Basseterre,2003,26.16041095890411,0.9255536483227343,851.5,150,0.0,0,43701.07821917808,39150.419616438354,1,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2003,13.035068493150685,11.271081118041499,560.0,59,22.4,6,43931.144301369866,31593.092739726028,2,People's Republic of China,39.90403,116.407526
Beirut,2003,19.055753424657535,6.063268285476981,910.2,78,0.6299999999999999,0,43848.45175342466,38281.62808219178,1,Lebanon,33.886944444,35.513055555
Belgrade,2003,12.38109589041096,10.358981684653065,422.4,82,49.49,12,44019.73947945206,31577.62520547945,2,Serbia,44.817777777,20.456944444
Belmopan,2003,26.047808219178084,2.796408237195194,1001.0,186,0.0,0,43700.62526027398,34761.061726027394,1,Belize,17.25,-88.7675
Berlin,2003,9.882739726027397,8.543232213226116,369.7,79,22.19,7,44222.80295890411,28948.683068493152,2,Germany,52.516666666,13.383333333
Bishkek,2003,8.455479452054794,9.580946212805962,691.5,91,129.01,33,43981.547342465754,34523.518438356165,2,Kyrgyzstan,42.866666666,74.566666666
Bissau,2003,27.572191780821917,1.3596877131918133,1492.6,128,0.0,0,43668.874136986306,35608.13191780822,1,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,2003,15.242054794520548,1.0149527121882698,1815.1,187,0.0,0,43634.80663013698,32620.763369863016,3,Colombia,4.60971,-74.08175
Brasília,2003,22.05369863013699,1.754607362585371,1078.2,148,0.0,0,43579.3466849315,36548.59315068493,1,Brazil,-15.793888888,-47.882777777
Bratislava,2003,10.859315068493151,9.481656426780818,367.5,76,34.09,10,44094.31112328767,31319.010602739723,2,Slovakia,48.144722222,17.112777777
Brazzaville,2003,25.80109589041096,0.8770416708618352,930.6,159,0.0,0,43603.94539726027,33932.33805479452,1,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,2003,26.646849315068494,0.75456281773819,824.2,160,0.0,0,43675.7701369863,39190.72860273973,1,Barbados,13.0975,-59.616666666
Bucharest,2003,11.350273972602741,10.480369532088483,478.8,70,74.89999999999999,15,44011.206109589046,31039.62723287671,2,Romania,44.413361111,26.097777777
Budapest,2003,10.965479452054796,10.168500710837728,366.7,65,47.67,11,44078.86276712329,32312.62838356164,2,Hungary,47.498333333,19.040833333
Buenos Aires,2003,17.00917808219178,5.311034996042547,1232.2,97,0.0,0,43580.78945205479,33357.36682191781,1,Argentina,-34.599722222,-58.381944444
Cairo,2003,21.737397260273973,6.086379593714452,2.8,0,0.0,0,43805.28408219178,39476.82252054795,4,Egypt,30.044444444,31.235833333
Canberra,2003,13.054931506849316,5.909819339405955,629.9,90,0.35000000000000003,0,43582.18594520548,35103.270328767125,1,Australia,-35.293055555,149.126944444
Castries,2003,26.995890410958904,0.7916265693620209,717.7,174,0.0,0,43680.94317808219,39355.76660273973,1,Saint Lucia,14.016666666,-60.983333333
Cetinje,2003,11.115205479452055,8.34336334097529,2026.0,121,93.66,14,43972.61065753425,33256.70808219178,2,Montenegro,42.389444444,18.924722222
Chișinău,2003,9.884246575342466,10.297568116543722,356.3,65,61.46,17,44067.25750684932,29177.055671232876,2,Moldova,47.022777777,28.835277777
City of Brussels,2003,11.12041095890411,6.907905854322808,586.2,100,12.6,5,44169.10336986301,29210.604602739724,2,Belgium,50.846666666,4.351666666
Commune of Monaco,2003,15.375753424657534,6.853207301960808,576.7,83,20.86,6,43998.772876712326,35203.101506849314,2,Monaco,43.730555555,7.425277777
Conakry,2003,26.45095890410959,1.0095317220162199,2987.4,186,0.0,0,43656.99457534246,33092.00912328767,3,Guinea,9.509166666,-13.712222222
