capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Canberra,1995,12.188904109589041,5.243874647929464,898.0,93,0.14,0,43581.81767123287,33432.11597260274
Canberra,1996,12.039344262295081,5.005127081611078,822.2,91,0.21,0,43605.383907103824,33966.486775956284
Canberra,1997,13.37958904109589,6.177935178715221,437.40000000000003,60,0.0,0,43581.84405479452,35616.012027397264
Canberra,1998,13.404794520547945,6.053018752271839,747.8,87,6.6499999999999995,3,43582.11863013699,33425.23452054794
Canberra,1999,12.756575342465753,5.4845673142113665,641.4,83,0.7,0,43582.26238356164,34152.53843835616
Canberra,2000,12.555054644808742,5.937703570879565,603.8,99,3.92,1,43605.60986338798,33380.59450819672
Canberra,2001,12.925479452054795,5.879139421095661,485.4,68,1.4700000000000002,1,43582.35397260274,34941.570602739725
Canberra,2002,13.196986301369861,5.7803217915223435,443.6,56,0.0,0,43582.39043835616,36131.57356164383
Canberra,2003,13.054931506849316,5.909819339405955,629.9,90,0.35000000000000003,0,43582.18594520548,35103.270328767125
Canberra,2004,13.310928961748635,6.014282381076177,511.7,76,0.07,0,43605.74322404371,34989.56008196721
Canberra,2005,13.47068493150685,5.599420184064768,673.1,83,0.14,0,43582.14493150685,34982.094328767125
Canberra,2006,13.710958904109589,6.281572160156369,346.8,48,0.0,0,43582.285506849315,36617.17002739726
Canberra,2007,13.80027397260274,5.931747785675363,619.7,74,0.0,0,43582.25550684932,35443.72312328767
Canberra,2008,12.721311475409836,5.491663363180421,626.8,78,0.49000000000000005,0,43605.46292349727,35175.044535519126
Canberra,2009,13.903835616438355,6.220354886817855,474.9,77,0.0,0,43582.29495890411,35397.08273972602
Canberra,2010,13.068767123287673,5.901586196073512,928.1,96,0.07,0,43582.437917808216,34336.71712328767
Canberra,2011,12.838904109589041,5.58207801356905,541.2,78,0.0,0,43582.30142465753,34252.319506849315
Canberra,2012,12.270765027322405,5.671819834501755,736.8,74,0.0,0,43605.83418032787,34512.03773224044
Canberra,2013,13.535479452054794,5.818502139371248,532.7,76,0.0,0,43582.31515068493,35700.459397260274
Canberra,2014,13.69986301369863,5.97719394939262,690.0,77,0.84,0,43582.50010958904,34814.10410958904
Canberra,2015,13.12082191780822,5.989195114020246,601.2,80,0.0,0,43582.44660273973,34311.46202739726
Canberra,2016,13.587021857923498,6.069910259503425,925.6,111,0.7,0,43605.609590163935,33014.4831147541
Canberra,2017,13.954520547945204,6.659822960945928,550.9,81,0.14,0,43582.40630136986,34808.09030136986
Canberra,2018,14.306164383561644,6.397452624505622,526.4,77,0.42000000000000004,0,43582.41260273972,34340.67054794521
Canberra,2019,14.73082191780822,6.916742061922405,372.1,61,4.2,1,43582.132739726025,36001.12164383562
Canberra,2020,13.89275956284153,5.973931569021076,893.2,97,0.42000000000000004,0,43605.64068306011,33445.8000273224
Canberra,2021,13.012465753424658,5.27319074248729,1021.8,109,0.21000000000000002,0,43582.28884931507,32379.29169863014
Canberra,2022,13.257671232876714,5.191556839627959,1069.9,118,0.63,0,43582.61926027397,31522.982136986302
Canberra,2023,13.949452054794522,5.523442769559718,636.4,85,0.35,0,43582.64531506849,34133.15219178082
Canberra,2024,14.357513661202187,5.979159430874285,596.8,75,0.07,0,43605.93385245901,34098.83808743169
Castries,1995,26.98109589041096,0.9178698488680668,718.8,173,0.0,0,43681.06249315069,39081.50397260274
Castries,1996,26.69808743169399,0.8171008911434098,912.0,217,0.0,0,43672.95584699453,39242.065956284154
Castries,1997,26.936301369863013,0.9250430742113949,589.6,159,0.0,0,43681.05120547945,39487.22821917808
Castries,1998,27.312739726027395,0.8849136362435746,817.4,184,0.0,0,43680.956082191784,38684.862465753424
Castries,1999,26.870410958904113,1.0113510145369151,687.8,176,0.0,0,43680.90936986302,39205.79821917808
Castries,2000,26.557923497267762,1.0798744496505177,730.4,200,0.0,0,43672.87934426229,39791.064754098355
Castries,2001,26.859726027397258,0.974690670292259,613.1,150,0.0,0,43680.87772602739,39906.770547945205
Castries,2002,26.961780821917806,0.8777380120303916,658.4,175,0.0,0,43680.868,39403.895260273974
Castries,2003,26.995890410958904,0.7916265693620209,717.7,174,0.0,0,43680.94317808219,39355.76660273973
Castries,2004,26.794262295081968,0.8068761864919987,958.7,210,0.0,0,43672.8406557377,38837.763469945356
Castries,2005,27.081917808219178,1.0022305583682076,1221.5,200,0.0,0,43680.957315068496,38020.89364383562
Castries,2006,27.012328767123286,0.9279238324711698,807.9,176,0.0,0,43680.90873972602,39383.06306849315
Castries,2007,27.007534246575343,0.8441244583348578,779.0,162,0.0,0,43680.92043835617,39291.70789041096
Castries,2008,26.684699453551914,1.0371778317288853,836.1,176,0.0,0,43672.934398907106,39095.357786885244
Castries,2009,27.015616438356165,1.0379621124982323,632.8,159,0.0,0,43680.900356164384,39757.74326027397
Castries,2010,27.398630136986302,0.8480817318009755,1189.1,200,0.0,0,43680.84901369863,38527.55408219178
Castries,2011,26.73643835616438,0.9430200052983477,1130.9,212,0.0,0,43680.89501369863,37910.767452054795
Castries,2012,26.87431693989071,0.9528523570534876,908.4,165,0.0,0,43672.79530054645,38590.838770491806
Castries,2013,26.923424657534245,0.7611934296237911,770.3,182,0.0,0,43680.88202739726,39365.57441095891
Castries,2014,26.9027397260274,0.8590217095370557,616.7,153,0.0,0,43680.81810958904,39421.74457534246
Castries,2015,27.19068493150685,0.9847648918484914,490.7,135,0.0,0,43680.837561643835,39625.15517808219
Castries,2016,27.262021857923497,0.9102041075105861,895.9,178,0.0,0,43672.867814207646,39042.208688524595
Castries,2017,26.746575342465754,0.9439268270818694,1333.5,253,0.0,0,43680.84934246575,38908.071397260275
Castries,2018,26.448630136986303,0.9579472602836058,1263.9,261,0.0,0,43680.84934246575,39293.84523287671
Castries,2019,26.865616438356167,1.0034774513328328,1045.0,239,0.0,0,43680.94890410959,39297.30052054794
Castries,2020,27.013387978142074,0.9450801211336142,1164.6,232,0.0,0,43672.862978142075,39332.508032786885
Castries,2021,26.87013698630137,1.0107587362676784,972.7,233,0.0,0,43680.89791780822,39265.56309589041
Castries,2022,26.776301369863013,1.031718808656444,979.4,225,0.0,0,43680.78663013699,38658.82909589041
Castries,2023,27.41260273972603,1.4435314483239292,881.0,198,0.0,0,43680.77805479452,38720.264438356164
Castries,2024,27.968852459016393,1.1063328514384867,912.1,216,0.0,0,43672.76508196721,39064.0487431694
Cetinje,1995,9.873013698630137,6.85347463109353,2518.7,160,103.67,21,43973.06323287671,30996.60008219178
Cetinje,1996,9.902732240437158,7.111787873733655,2916.2,155,162.61,34,43942.67106557377,29434.46166666667
Cetinje,1997,10.224246575342466,6.542960926544365,1743.0,119,72.52,14,43973.02490410959,32513.852794520546
Cetinje,1998,10.578493150684931,7.508368713984766,2225.2,139,53.97,12,43972.670082191784,32276.81021917808
Cetinje,1999,10.876164383561644,7.590224270625895,2203.8,141,185.22,27,43972.48890410959,32204.813671232878
Cetinje,2000,11.181830601092896,7.607308431450999,2104.6,127,87.08,16,43942.385191256835,33734.066912568305
Cetinje,2001,10.94890410958904,7.324306508379604,2243.4,145,151.97,22,43972.37673972602,31600.241890410958
Cetinje,2002,11.054931506849316,6.587110941716606,2563.4,167,32.410000000000004,6,43972.336904109594,30363.990410958904
Cetinje,2003,11.115205479452055,8.34336334097529,2026.0,121,93.66,14,43972.61065753425,33256.70808219178
Cetinje,2004,10.615300546448086,7.322855816324983,2940.6,153,154.42,25,43942.23827868853,30881.471174863385
Cetinje,2005,9.841369863013698,7.913862388147762,2325.8,151,315.07,38,43972.669863013696,31423.879369863014
Cetinje,2006,10.394383561643835,7.947996496854709,1933.8,140,105.35,22,43972.48695890411,31931.013369863016
Cetinje,2007,11.497945205479452,7.271750427696457,1950.3999999999999,145,74.97,15,43972.52416438356,32324.640575342466
Cetinje,2008,11.241939890710382,7.205556973267726,2409.9,151,43.120000000000005,14,43942.593278688524,31717.574590163935
Cetinje,2009,11.115890410958905,7.50261453248946,2605.6,158,131.32,22,43972.46087671233,30551.07684931507
Cetinje,2010,10.935205479452055,7.287115135934489,3388.6,174,204.82,32,43972.268328767124,29793.166520547944
Cetinje,2011,11.301095890410958,7.6005186277720185,1260.5,109,77.84,18,43972.43643835617,34168.18676712329
Cetinje,2012,11.377322404371586,8.876556282758314,2053.9,125,196.49,25,43942.08051912569,32316.15404371585
Cetinje,2013,11.422739726027398,7.187238052613014,2907.1,159,141.68,27,43972.399589041095,31131.60101369863
Cetinje,2014,11.402328767123288,6.007949294624589,2873.8,182,73.92,10,43972.156356164385,30165.343561643836
Cetinje,2015,11.84945205479452,7.775389974745362,1492.5,120,112.07000000000001,15,43972.22479452055,33781.57906849315
Cetinje,2016,11.564071038251365,6.913352186149224,2670.4,157,38.15,9,43942.35527322404,31522.416229508195
Cetinje,2017,12.612739726027396,7.905649541377505,1894.3,128,37.38,7,43972.2757260274,35450.176712328765
Cetinje,2018,13.342465753424657,7.148822576692423,2731.0,180,56.14,14,43972.27049315069,32891.62972602739
Cetinje,2019,13.121643835616437,7.587102092993199,2243.6,139,46.339999999999996,8,43972.63906849315,33580.29819178082
Cetinje,2020,13.051092896174863,6.738070038475516,2002.7,135,24.5,7,43942.33245901639,34100.423032786886
Cetinje,2021,12.638219178082192,7.654097218976468,2173.8,149,37.1,9,43972.45060273973,32980.787479452054
Cetinje,2022,13.287945205479453,7.5935433748679095,2241.9,140,52.92,13,43972.02983561644,33464.619452054794
