capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Guatemala City,2011,19.152602739726028,1.012198981704639,2033.2,190,0.0,0,43684.57126027397,36146.70865753425,1,Guatemala,14.641666666,-90.513333333
Havana,2011,26.314109589041095,2.4704266413223164,723.0,111,0.0,0,43742.80690410959,38218.072273972604,1,Cuba,23.136666666,-82.358888888
Helsinki,2011,6.44958904109589,9.571805328579938,583.0,108,90.93,29,44596.580383561646,27258.985643835615,0,Finland,60.170833333,24.9375
Honiara,2011,26.726986301369863,0.6105790913017809,2684.4,304,0.0,0,43590.75005479452,34303.28956164383,3,Solomon Islands,-9.433333,159.95
Islamabad,2011,20.75917808219178,7.611816066359571,847.8,102,0.0,0,43845.78945205479,36904.29142465753,4,Pakistan,33.698888888,73.036944444
Jakarta,2011,26.673835616438357,0.7740247854611694,1483.6,223,0.0,0,43598.73084931507,35604.862575342464,1,Indonesia,-6.175277777,106.826944444
Jerusalem,2011,17.174657534246574,6.633556693179444,173.0,42,0.0,0,43823.943780821915,39050.28797260274,4,Israel,31.778888888,35.225555555
Kabul,2011,13.245753424657535,10.39715804335945,196.5,39,48.3,15,43856.073150684926,38148.952767123286,2,Afghanistan,34.532777777,69.165833333
Kathmandu,2011,16.958904109589042,4.246329559724587,2638.7,203,0.0,0,43782.32279452055,32047.189150684928,3,Nepal,27.71,85.32
Kigali,2011,18.776849315068493,0.7583181156970399,1125.9,190,0.0,0,43610.98197260274,35721.81071232877,1,Rwanda,-1.953611111,30.060555555
Kingston,2011,26.25068493150685,1.1935867186152604,1044.5,156,0.0,0,43705.14378082192,38680.18087671233,1,Jamaica,17.971388888,-76.793055555
Kingstown,2011,26.884520547945208,0.8837436620160511,1440.9,203,0.0,0,43676.116904109585,37970.58498630137,1,Saint Vincent and the Grenadines,13.15527,-61.22742
Kinshasa,2011,25.64876712328767,0.9706785680299318,1143.4,162,0.0,0,43603.751945205484,32521.45706849315,1,Democratic Republic of the Congo,-4.321944444,15.311944444
Kuala Lumpur,2011,26.13876712328767,0.6934920101536266,2625.0,266,0.0,0,43628.87536986301,33239.13819178082,3,Malaysia,3.147777777,101.695277777
Kuwait City,2011,26.455616438356163,9.527422247787756,63.0,12,0.0,0,43798.03024657534,38875.2315890411,4,Kuwait,29.375,47.98
La Paz,2011,9.071506849315067,1.5227746068893535,2950.2,337,8.61,1,43578.4521369863,35046.71917808219,3,Bolivia,-16.495833333,-68.133333333
Libreville,2011,25.944931506849315,0.8445577607421905,2288.1,246,0.0,0,43618.7375890411,32334.97608219178,3,Gabon,0.3901,9.4544
Lilongwe,2011,21.057534246575344,2.5739111539895174,630.2,98,0.0,0,43582.13778082192,37728.356301369866,1,Malawi,-13.983333333,33.783333333
Lima,2011,18.960684931506847,2.0190394087227794,80.5,21,0.0,0,43585.45298630137,37692.20756164384,4,Peru,-12.06,-77.0375
Lisbon,2011,17.429726027397262,4.502322347204768,549.2,71,0.0,0,43912.590136986306,36786.58605479452,4,Portugal,38.708042,-9.139016
Ljubljana,2011,11.193561643835617,8.104107520783206,649.1,75,32.69,10,44046.39210958904,31236.184410958904,2,Slovenia,46.051388888,14.506111111
Lobamba,2011,18.47,3.9253889707172434,832.9,112,0.0,0,43572.748410958906,33614.03282191781,1,Eswatini,-26.44648,31.206411
