capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Tallinn,Spring,2010,4.423369565217391,6.834211977721074,101.9,26,31.08,7,52121.14673913043,31139.808260869562
Tallinn,Spring,2011,4.276630434782609,5.580743240346033,67.5,18,17.78,5,52048.25989130435,35025.54663043479
Tallinn,Spring,2012,4.569565217391304,5.787685660382072,122.2,27,31.29,12,52273.573369565216,33447.53097826087
Tallinn,Spring,2013,2.7119565217391304,8.941010494201958,56.9,17,11.34,3,52200.982826086954,36870.83456521739
Tallinn,Spring,2014,5.98695652173913,5.3226701014695506,97.2,21,15.12,4,52127.83054347826,34170.794130434784
Tallinn,Spring,2015,5.605978260869565,3.6183054317351946,118.39999999999999,29,7.49,3,52054.21130434783,31555.30054347826
Tallinn,Spring,2016,5.5978260869565215,5.945299708909766,83.7,18,9.870000000000001,4,52281.352608695655,36381.899673913045
Tallinn,Spring,2017,4.025,4.540970390556636,76.8,24,27.37,8,52208.79336956522,33880.355434782614
Tallinn,Spring,2018,5.126630434782609,7.981904159770827,68.7,16,19.95,3,52135.5527173913,36665.995652173915
Tallinn,Spring,2019,5.626086956521739,5.612463946681086,119.1,29,29.75,7,52064.51,33227.087608695656
Tallinn,Spring,2020,4.9125,3.72758963011615,124.9,26,20.02,6,52291.9277173913,35525.87195652174
Tallinn,Spring,2021,4.611413043478261,5.428931973875788,143.4,28,22.82,7,52219.55902173913,30463.81869565217
Tallinn,Spring,2022,4.514130434782609,4.322814038744791,89.1,22,25.2,8,52146.72086956522,37323.85760869565
Tallinn,Spring,2023,5.190760869565217,5.845703453414752,76.1,18,28.91,8,52073.90913043478,35983.6
Tallinn,Spring,2024,6.665760869565218,6.605595901727074,70.8,16,23.45,3,52301.68336956522,31029.958369565218
Tallinn,Summer,1995,16.37445652173913,2.2201066027916747,203.8,32,0.0,0,62125.70684782609,45666.48554347826
Tallinn,Summer,1996,15.383695652173913,2.6849100983133196,214.6,39,0.0,0,62009.90923913044,45457.42630434783
Tallinn,Summer,1997,18.19945652173913,3.1780194136746958,105.4,22,0.0,0,62047.54413043479,48073.33239130435
Tallinn,Summer,1998,14.908152173913043,2.1125121389067063,349.5,55,0.0,0,62083.628152173915,41140.40586956521
Tallinn,Summer,1999,17.35054347826087,2.6949942869846826,142.6,33,0.0,0,62121.479456521745,49433.32489130434
Tallinn,Summer,2000,15.342391304347826,2.450038514864441,200.7,41,0.0,0,62006.53760869565,43956.369782608694
Tallinn,Summer,2001,16.833152173913046,3.6324187229429405,206.7,35,0.0,0,62044.02173913043,45105.25543478261
Tallinn,Summer,2002,18.058695652173913,2.6232121980550565,207.6,25,0.0,0,62081.64326086956,47785.63945652174
Tallinn,Summer,2003,16.592391304347824,3.9900214462959407,157.4,35,0.0,0,62119.49717391305,43607.76336956522
Tallinn,Summer,2004,15.51086956521739,2.8745169311025824,342.8,49,0.0,0,62003.91554347826,40329.26608695652
Tallinn,Summer,2005,16.37391304347826,2.956000400199878,239.4,37,0.0,0,62041.18836956522,46383.12195652174
Tallinn,Summer,2006,17.87663043478261,3.0333354061324163,98.9,17,0.0,0,62077.01434782609,48252.565
Tallinn,Summer,2007,16.7875,2.8486995780029676,213.3,36,0.0,0,62114.12945652174,45477.787826086955
Tallinn,Summer,2008,15.367391304347825,2.0684898507801988,302.7,49,0.0,0,61997.1,41723.940217391304
Tallinn,Summer,2009,15.544021739130434,2.7566686615210623,244.8,35,0.0,0,62032.58141304348,44450.61608695652
Tallinn,Summer,2010,17.99836956521739,4.474036522758352,184.7,34,0.0,0,62068.681304347825,46282.86239130435
Tallinn,Summer,2011,17.89945652173913,2.9918891691181804,219.8,39,0.0,0,62105.142608695656,46452.43184782609
Tallinn,Summer,2012,15.379347826086958,2.908458223926363,256.5,34,0.0,0,61987.52597826086,43645.0952173913
Tallinn,Summer,2013,17.706521739130434,2.259743462432347,149.7,33,0.0,0,62024.26489130435,46511.842826086955
Tallinn,Summer,2014,16.80054347826087,4.27183141725297,254.6,43,0.0,0,62060.55706521739,44833.224347826086
Tallinn,Summer,2015,15.620108695652174,2.3140880028120634,200.2,35,0.0,0,62098.647065217396,46800.236304347825
Tallinn,Summer,2016,16.57608695652174,2.3367286969916905,305.5,41,0.0,0,61982.03989130435,41780.942065217394
Tallinn,Summer,2017,14.88641304347826,2.5210008397685444,279.7,42,0.0,0,62018.97489130435,40549.67923913044
Tallinn,Summer,2018,17.72826086956522,3.870714960420828,178.0,36,0.0,0,62057.00923913043,44868.739782608696
Tallinn,Summer,2019,16.633695652173913,2.691828382015215,196.9,35,0.0,0,62095.34597826087,45137.93934782608
Tallinn,Summer,2020,16.32282608695652,2.2828843939707215,280.5,43,0.0,0,61978.545,44842.41826086956
