capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Ottawa,Autumn,1999,10.706043956043956,6.608020527127266,298.3,35,2.45,1,39660.519340659346,22993.254945054945,1,Canada
Ouagadougou,Autumn,1999,27.333516483516483,1.11835829443219,147.3,25,0.0,0,42743.35571428572,36701.051098901095,3,Burkina Faso
Palikir,Autumn,1999,23.934615384615388,0.5175096514232739,765.4,78,0.0,0,43126.30406593406,36099.62142857142,0,Federated States of Micronesia
Panama City,Autumn,1999,25.197252747252744,0.5197949722600375,766.1,85,0.0,0,42983.097582417584,33044.18989010989,0,Panama
Paris,Autumn,1999,12.073076923076924,5.575662928658534,201.6,32,2.4499999999999997,1,39162.06703296703,24173.113296703297,1,France
Philipsburg,Autumn,1999,26.61098901098901,0.5819413008677781,830.9,55,0.0,0,42326.301098901095,34752.36483516484,0,Sint Maarten
Phnom Penh,Autumn,1999,27.04340659340659,0.9803403261455478,560.4,68,0.0,0,42798.669560439565,33986.12901098901,0,Cambodia
Port Louis,Autumn,1999,23.634615384615383,1.2604164282686732,62.300000000000004,21,0.0,0,45108.953736263735,41712.105934065934,3,Mauritius
Port Moresby,Autumn,1999,27.11263736263736,0.9081909187008795,382.9,47,0.0,0,44282.31230769231,38439.44296703297,0,Papua New Guinea
Port-au-Prince,Autumn,1999,27.162087912087912,1.514730277774828,424.8,68,0.0,0,42289.25637362638,37218.68604395605,0,Haiti
Porto-Novo,Autumn,1999,25.822527472527472,0.9514977589821072,368.8,69,0.0,0,43155.82725274725,33666.85945054945,0,Benin
Prague,Autumn,1999,10.790109890109889,6.741040225449139,99.9,25,0.14,0,38955.98714285714,20482.331318681317,1,Czech Republic
Praia,Autumn,1999,25.796153846153842,0.8225715358702481,253.20000000000002,24,0.0,0,42555.22153846154,36217.423736263736,3,Cape Verde
Prishtina,Autumn,1999,12.304395604395605,6.002733860276812,121.4,20,2.52,1,40029.48714285714,26992.65824175824,1,Kosovo
Pyongyang,Autumn,1999,12.742857142857142,7.581947021373905,176.6,20,0.84,0,40452.279890109894,28305.75604395604,1,North Korea
Quito,Autumn,1999,12.157142857142857,0.7828215146567729,893.1,91,0.0,0,43626.6134065934,27582.573076923076,0,Ecuador
Rabat,Autumn,1999,19.49010989010989,3.544723933618493,121.5,17,0.0,0,40972.94945054945,35307.598351648354,3,Morocco
Reykjavík,Autumn,1999,4.628021978021978,4.663762243744665,349.9,46,31.080000000000002,8,35256.94516483516,16261.787802197801,2,Iceland
Riga,Autumn,1999,8.143406593406594,6.513252339957051,189.0,31,10.43,3,37570.57769230769,19460.210329670328,2,Latvia
Riyadh,Autumn,1999,27.006593406593407,5.291766186944521,0.0,0,0.0,0,41810.28285714286,38554.10813186813,4,Saudi Arabia
Rome,Autumn,1999,16.796153846153846,4.66081317874676,313.3,35,0.0,0,40124.798901098904,31925.523626373626,1,Italy
Roseau,Autumn,1999,26.75934065934066,0.6432086272877106,373.6,61,0.0,0,42529.518901098905,36543.47802197802,0,Dominica
San José,Autumn,1999,19.892307692307693,1.1746139573144654,1248.0,81,0.0,0,42913.578681318686,23928.545384615383,0,Costa Rica
San Marino,Autumn,1999,12.233516483516484,5.616147626586586,383.90000000000003,38,12.74,3,39868.02131868132,28478.364945054946,2,San Marino
San Salvador,Autumn,1999,22.50934065934066,0.8077029187046462,614.1,54,0.0,0,42647.17725274725,31926.378131868132,0,El Salvador
Santiago,Autumn,1999,14.202197802197803,3.352833893290141,194.6,21,0.0,0,46357.66934065934,38196.094615384616,3,Chile
Santo Domingo,Autumn,1999,25.66153846153846,1.04613247841426,352.2,65,0.0,0,42294.56021978022,36738.74571428571,0,Dominican Republic
Sarajevo,Autumn,1999,11.334615384615384,6.139198700462517,247.4,30,22.959999999999997,8,39877.179450549454,24764.195714285714,2,Bosnia and Herzegovina
Singapore,Autumn,1999,26.435714285714287,0.5096450679032378,739.8,79,0.0,0,43518.65010989011,32700.393296703296,0,Singapore
Skopje,Autumn,1999,14.643956043956043,5.815916069836272,108.5,15,0.42,0,40107.650879120876,29474.2478021978,1,North Macedonia
Sofia,Autumn,1999,11.679120879120878,6.261602856271734,127.9,21,3.36,2,40020.698901098905,27497.627912087915,1,Bulgaria
South Tarawa,Autumn,1999,26.865934065934066,0.3418803495115989,59.2,16,0.0,0,43518.65010989011,40225.411868131865,3,Kiribati
St. George's,Autumn,1999,26.96043956043956,0.6123505025499191,490.9,69,0.0,0,42763.49912087912,37217.85813186813,0,Grenada
St. John's,Autumn,1999,26.776923076923076,0.7183819663470479,620.0,60,0.0,0,42394.61373626374,35048.64505494506,0,Antigua and Barbuda
Suva,Autumn,1999,24.11263736263736,1.0239518599413817,807.6,72,0.0,0,44942.7510989011,35823.886043956045,0,Fiji
Tallinn,Autumn,1999,7.893406593406593,5.872375105295077,144.5,29,8.89,3,36919.0845054945,18769.88065934066,2,Estonia
Tbilisi,Autumn,1999,12.231868131868131,6.36209048664001,150.9,26,7.0,1,40141.8689010989,28491.05164835165,1,Georgia
Tegucigalpa,Autumn,1999,20.986813186813187,1.8999975901276431,571.1,58,0.0,0,42616.62175824176,34289.352527472525,0,Honduras
Tehran,Autumn,1999,16.05989010989011,8.091223708370759,81.7,9,0.0,0,40811.62131868132,35807.81802197802,1,Iran
Thimphu,Autumn,1999,11.989010989010989,3.1849280664980144,577.2,68,0.0,0,41575.57120879121,31698.59087912088,0,Bhutan
Tirana,Autumn,1999,16.941758241758244,4.085946536172385,235.7,27,0.0,0,40192.61527472527,32857.16967032967,1,Albania
Tokyo,Autumn,1999,18.50054945054945,5.810519648330827,224.1,24,0.0,0,40811.62131868132,27234.796923076923,1,Japan
Tripoli,Autumn,1999,23.894505494505495,4.151763016073551,27.1,8,0.0,0,41088.26516483516,35552.31736263736,4,Libya
Tórshavn,Autumn,1999,8.317032967032967,2.5585175805556237,270.0,45,10.43,2,36086.95956043956,13705.246703296703,2,Faroe Islands
Ulaanbaatar,Autumn,1999,0.09065934065934061,8.382448303475519,59.5,11,28.7,7,39303.95351648352,29765.975934065933,2,Mongolia
Vaduz,Autumn,1999,9.882417582417581,7.489508861016384,263.0,29,45.5,8,39419.83065934066,25219.01065934066,2,Liechtenstein
Valletta,Autumn,1999,21.82967032967033,3.0867276633819984,173.9,19,0.0,0,40790.096043956044,34118.67659340659,3,Malta
Victoria,Autumn,1999,25.692857142857147,0.4620348368642667,291.4,43,0.0,0,43933.244835164835,39797.18252747253,3,Seychelles
Vienna,Autumn,1999,10.795604395604395,6.496536035764021,110.89999999999999,21,8.05,3,39260.88384615385,24869.260329670327,2,Austria
Vientiane,Autumn,1999,25.02307692307692,1.9217368835438038,470.2,47,0.0,0,42331.57747252747,29950.643846153846,0,Laos
Vilnius,Autumn,1999,7.424725274725274,7.09755190042616,120.1,25,17.36,5,38096.96538461539,17055.646043956043,2,Lithuania
Warsaw,Autumn,1999,8.85989010989011,6.973534174052555,72.8,20,25.9,6,38584.28604395604,20020.979890109887,2,Poland
Wellington,Autumn,1999,13.121978021978022,2.126110282380697,270.8,35,0.0,0,47319.46186813187,35899.21098901099,3,New Zealand
Windhoek,Autumn,1999,20.313736263736264,3.563589528785591,30.9,10,0.0,0,45316.59857142857,41594.623406593404,3,Namibia
Yamoussoukro,Autumn,1999,25.66978021978022,0.7205275505905039,324.4,48,0.0,0,43136.148681318686,31375.920879120877,0,Ivory Coast
Yaoundé,Autumn,1999,22.927472527472528,0.8516084042779742,656.1,80,0.0,0,43342.28340659341,26131.886593406594,0,Cameroon
Yaren District,Autumn,1999,26.91318681318681,0.37467283245483984,28.7,10,0.0,0,43646.27483516483,40698.26043956044,3,Nauru
Yerevan,Autumn,1999,11.431868131868132,6.805134974918715,111.5,17,1.9600000000000002,1,40324.675164835164,34690.44021978022,1,Armenia
Zagreb,Autumn,1999,11.595604395604395,7.422662925690814,166.8,23,43.54,4,39611.67098901099,24177.436483516485,2,Croatia
