capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,capital_in_season,cluster,country,lat,lon
Malabo,Summer,1998,25.910326086956523,0.7501478990977599,1386.5,91,0.0,0,44260.04152173913,31054.404782608697,Malabo_in_Summer,3,Equatorial Guinea,3.752063888,8.7737
Malabo,Winter,1998,27.55,0.7279724034774411,366.6,74,0.0,0,42999.27333333333,38824.182888888885,Malabo_in_Winter,3,Equatorial Guinea,3.752063888,8.7737
Malé,Autumn,1998,26.75824175824176,0.5074590151082639,400.8,52,0.0,0,43314.85945054945,37742.95164835165,Malé_in_Autumn,3,Maldives,4.175,73.508333333
Malé,Spring,1998,28.382608695652173,0.5574389427270129,393.3,45,0.0,0,43938.07141304348,37109.60858695652,Malé_in_Spring,3,Maldives,4.175,73.508333333
Malé,Summer,1998,27.397282608695654,0.5609726703120912,456.1,56,0.0,0,44331.6322826087,36359.38010869565,Malé_in_Summer,3,Maldives,4.175,73.508333333
Malé,Winter,1998,26.935000000000002,0.8815668507603691,514.6,45,0.0,0,42929.00288888889,36022.14988888889,Malé_in_Winter,3,Maldives,4.175,73.508333333
Managua,Autumn,1998,26.835164835164836,0.8374728687311671,650.4,65,0.0,0,42749.73142857143,31435.95659340659,Managua_in_Autumn,3,Nicaragua,12.156383333,-86.272986111
Managua,Spring,1998,30.417934782608693,1.174256405386005,80.80000000000001,11,0.0,0,44580.50989130435,40329.86206521739,Managua_in_Spring,4,Nicaragua,12.156383333,-86.272986111
Managua,Summer,1998,28.553260869565218,0.889184227559112,294.5,50,0.0,0,45710.10413043478,39069.07858695652,Managua_in_Summer,3,Nicaragua,12.156383333,-86.272986111
Managua,Winter,1998,28.206111111111113,0.8140213596905568,1.0,0,0.0,0,41585.89611111111,38510.44455555555,Managua_in_Winter,4,Nicaragua,12.156383333,-86.272986111
Manama,Autumn,1998,29.275824175824173,3.80887386854962,0.0,0,0.0,0,41656.43615384615,38139.435824175824,Manama_in_Autumn,4,Bahrain,26.225,50.5775
Manama,Spring,1998,24.17065217391304,4.158462523458185,15.6,3,0.0,0,45872.72815217391,40324.44684782608,Manama_in_Spring,4,Bahrain,26.225,50.5775
Manama,Summer,1998,33.94728260869565,1.3528229364098787,0.0,0,0.0,0,48466.27891304348,44057.19119565217,Manama_in_Summer,4,Bahrain,26.225,50.5775
Manama,Winter,1998,18.294999999999998,3.2628316267805015,51.1,9,0.0,0,38952.61933333333,33316.088444444445,Manama_in_Winter,4,Bahrain,26.225,50.5775
Manila,Autumn,1998,27.165934065934064,0.6376989502578405,656.4,52,0.0,0,42570.256263736264,30592.370879120877,Manila_in_Autumn,3,Philippines,14.595833333,120.977222222
Manila,Spring,1998,28.77282608695652,1.3098404617952348,221.4,10,0.0,0,44788.28152173913,39436.41086956522,Manila_in_Spring,4,Philippines,14.595833333,120.977222222
Manila,Summer,1998,28.11195652173913,0.5581744954041123,378.9,66,0.0,0,46154.46173913044,38316.166739130436,Manila_in_Summer,3,Philippines,14.595833333,120.977222222
Manila,Winter,1998,26.74,0.858833805586376,87.60000000000001,8,0.0,0,41156.83977777778,36069.863666666664,Manila_in_Winter,4,Philippines,14.595833333,120.977222222
Maputo,Autumn,1998,22.640659340659344,2.473222280614592,220.4,33,0.0,0,45629.81626373626,32241.92791208791,Maputo_in_Autumn,3,Mozambique,-25.915277777,32.576388888
Maputo,Spring,1998,24.295108695652175,2.4226615527234565,88.5,14,0.0,0,41481.25119565217,36060.619021739134,Maputo_in_Spring,4,Mozambique,-25.915277777,32.576388888
Maputo,Summer,1998,20.226630434782606,1.447192262395799,16.2,5,0.0,0,38970.4302173913,33441.80782608695,Maputo_in_Summer,4,Mozambique,-25.915277777,32.576388888
Maputo,Winter,1998,25.22277777777778,1.6621726865611954,424.6,41,0.0,0,48334.52511111111,37158.839888888884,Maputo_in_Winter,3,Mozambique,-25.915277777,32.576388888
Maseru,Autumn,1998,16.1489010989011,2.614128046914582,292.0,24,0.0,0,45952.69131868132,38824.88538461538,Maseru_in_Autumn,1,Lesotho,-29.31,27.48
Maseru,Spring,1998,13.93913043478261,4.072130055829633,209.2,24,0.0,0,41156.85913043479,35605.56891304348,Maseru_in_Spring,1,Lesotho,-29.31,27.48
Maseru,Summer,1998,8.304891304347825,2.5202701296720074,20.8,5,0.0,0,38250.015,34127.220869565215,Maseru_in_Summer,4,Lesotho,-29.31,27.48
Maseru,Winter,1998,18.966666666666665,2.1584690787789724,526.4,47,0.0,0,49081.617000000006,41355.545666666665,Maseru_in_Winter,1,Lesotho,-29.31,27.48
Mexico City,Autumn,1998,15.336813186813188,1.3923368678599097,815.5,65,0.0,0,42210.95010989011,33629.94791208791,Mexico City_in_Autumn,3,Mexico,19.353773,-99.13589
Mexico City,Spring,1998,19.161956521739132,2.4720233467061523,52.0,5,0.0,0,45209.51304347826,42238.85141304348,Mexico City_in_Spring,4,Mexico,19.353773,-99.13589
Mexico City,Summer,1998,18.205978260869564,1.6507048509702564,855.5,79,0.0,0,47053.65032608696,39653.45978260869,Mexico City_in_Summer,3,Mexico,19.353773,-99.13589
Mexico City,Winter,1998,13.452222222222222,1.650296383171707,10.0,3,0.0,0,40294.111,36527.776,Mexico City_in_Winter,4,Mexico,19.353773,-99.13589
Minsk,Autumn,1998,3.840659340659341,8.709585753919875,178.6,25,34.58,11,38198.95824175824,17157.165384615386,Minsk_in_Autumn,2,Belarus,53.902246,27.561837
Minsk,Spring,1998,5.759239130434783,6.956694654332387,148.6,27,31.919999999999998,9,50275.33097826087,29563.458369565218,Minsk_in_Spring,2,Belarus,53.902246,27.561837
Minsk,Summer,1998,16.09891304347826,3.2459694217384367,407.8,52,0.0,0,57951.50869565217,34667.25489130435,Minsk_in_Summer,1,Belarus,53.902246,27.561837
Minsk,Winter,1998,-3.1,5.70903581068121,40.3,12,64.68,19,30286.76588888889,8315.56,Minsk_in_Winter,0,Belarus,53.902246,27.561837
Monrovia,Autumn,1998,25.798901098901098,0.6920572400049154,1256.1,91,0.0,0,43166.1310989011,33195.61912087912,Monrovia_in_Autumn,3,Liberia,6.310555555,-10.804722222
Monrovia,Spring,1998,27.745652173913044,0.681169492628325,756.4,83,0.0,0,44105.39760869565,36286.07,Monrovia_in_Spring,3,Liberia,6.310555555,-10.804722222
Monrovia,Summer,1998,25.314673913043475,0.7833970139780942,1308.5,81,0.0,0,44691.39413043478,28654.817826086957,Monrovia_in_Summer,3,Liberia,6.310555555,-10.804722222
Monrovia,Winter,1998,27.38888888888889,0.9237739453580346,251.0,49,0.0,0,42576.66122222222,37439.497111111115,Monrovia_in_Winter,3,Liberia,6.310555555,-10.804722222
